% Model:              eigenfreq_and_eigenvector(structure4,elastic_load).mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 18 2026, 15:18
% Dimension:          1
% Nodes:              2806
% Expressions:        20
% Description:        Global
% x,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1
1.0E-8,2.4753066995880842E-12,3.6529956046388454E-7,0.004675009339443091,0.029813768995528032,1097.8183969263146,1448.8425188463466,1908.3244624395961,2155.54920633724,2600.143008011141,3953.1216210741536,4028.383539519754,4087.2170661164055,4389.60579909956,5653.172114736687,5752.9270332913675,5795.715594225239,7779.16207750136,8026.100619970198,8126.863731627966,8828.183318847961
5.235987755982989,3.32432834911998E-11,1.230286471947238E-7,1.1598774856473595,220.03949481281555,1102.7603239905695,1449.2075799778013,1912.0305810176885,2155.9624086254867,2603.0706427141795,3953.8519448365782,4028.443861788898,4087.312678357345,4389.41267291474,5653.6690428773945,5752.85327141287,5795.674258124966,7780.07611141559,8026.113060516877,8127.433281839749,8828.19379444494
10.471975511965978,2.6611101696142852E-11,1.5364791735329844E-6,4.6505187686841465,416.2155411340676,1118.1079505370194,1450.3685335125842,1923.2841482063725,2157.209697020322,2611.974940815785,3955.9862108102193,4028.6166260780496,4087.6057946918504,4388.834543476297,5654.958325143724,5752.663674775469,5795.556285951931,7782.8060382497315,8025.930800308781,8129.032645199144,8828.007118319118
15.707963267948966,3.3993845232545434E-10,1.0907855237928396E-7,10.590197131138646,577.7121922146708,1145.1679878077834,1452.5435967557398,1942.4231102878362,2159.2709117844583,2627.236743563903,3959.5509236272783,4028.8988122882165,4088.1057409664554,4387.877837036079,5657.116567150093,5752.347784817403,5795.360585354427,7787.312984254854,8025.628278461646,8131.76728226595,8827.696941347951
20.943951023931955,6.307415436888026E-8,15.162157441935108,44.83610398397952,702.7008864590584,1184.7936488216158,1456.1953843226124,1969.8745498390226,2162.120077976255,2649.5020466841443,3964.556836599684,4029.281726483707,4088.830752558097,4386.552893639889,5660.15770283904,5751.905761636465,5795.0885444011665,7793.528629727909,8025.207406982852,8135.74431921032,8827.264570752737
26.179938779914945,2.2316537603346017E-8,27.786399002063458,120.34280400655315,793.900131764792,1234.7189546077907,1462.229069197131,2005.8824616178347,2165.721641386241,2679.6853715647926,3971.0173382729554,4029.7530602536485,4089.808875598185,4384.8743521712695,5664.101624868484,5751.337838232292,5794.742073181747,7801.34976343664,8024.670955216599,8141.12068863625,8826.711899586358
31.41592653589793,2.662730354944206E-10,40.22249044087728,172.37724688834538,858.036844248526,1287.7400967795402,1472.3249673158653,2050.098049413224,2170.0312340551795,2718.930320072432,3978.9465441091957,4030.296769782474,4091.081033000185,4382.861296780646,5668.974122989542,5750.64432898799,5794.3235965641925,7810.631410496885,8024.022642004703,8148.10927249919,8826.041309204365
36.65191429188092,6.8662097354122786E-9,54.63727541801776,218.12686172406498,903.5475320755913,1334.1380927161167,1489.0003083578656,2101.19031806613,2174.9965844062576,2768.4774316490552,3988.3560922906045,4030.8929273208482,4092.7060697313273,4380.537436925632,5674.807113307552,5749.825641332761,5793.836026491162,7821.179550039033,8023.267260018579,8156.985186627937,8825.255657610827
41.88790204786391,1.5349811173017512E-8,71.04139832775267,260.781263106525,937.4010179159707,1367.155977765067,1513.7771543169179,2156.80722127963,2180.558534868133,2829.3935214346902,3999.2498501238715,4031.517562553516,4094.769081386721,4377.931303032133,5681.638849882691,5748.882290743877,5793.282731145944,7832.74539726581,8022.410833393628,8168.090127859308,8824.358241852238
47.1238898038469,5.983169609622702E-9,89.37715075668419,301.5240592066379,964.1110814964788,1387.0954199207224,1544.1352379799166,2186.6521106486334,2214.0936926701006,2902.187237555803,4011.614770984866,4032.142510717294,4097.395585859257,4375.076440430028,5689.514146508071,5747.814919190617,5792.6674991269465,7845.024342985655,8021.4608132557405,8181.831606257475,8823.352746157872
